rank,score,types,regions,title,actors
17,9.2,"剧情,喜剧,爱情",中国大陆,狐妖小红娘剧场版：王权富贵,"杨天翔,刘校妤,乔诗语,魏超,阎萌萌,张凯,范哲琛"
18,9.2,"喜剧,动画",美国,欢乐树的朋友们：第三击,"Liz Stuart,Ken Pontac,凯恩·纳瓦罗,沃伦·格拉夫,Rhode Montijo"
19,9.1,"剧情,喜剧,犯罪",英国,两杆大烟枪,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,杰森·斯坦森,斯蒂文·麦金托什,斯汀,维尼·琼斯,丹尼·约翰-儒勒,维克多·麦奎尔,阿兰·福德,安德鲁·蒂曼,马修·沃恩,弗兰克·哈珀,罗尼·福克斯,罗伯·布莱顿,斯蒂芬·马库斯,瓦斯·布莱克伍德,Lenny McLean,尼古拉斯·罗尔,P.H.莫里亚蒂,薇拉·黛"
20,9.1,"喜剧,爱情,西部,冒险",美国,淘金记,"查理·卓别林,马克·斯旺,Tom Murray,亨利·伯格曼,Malcolm Waite,乔治亚·黑尔,Jack Adams,Sam Allen,Harry Arras,艾伯特·奥斯汀,Marta Belfort,George Brock,海尼·康克林,Kay Deslys,James Dime,Leon Farey,Charles Force,J.C. Fowler,阿尔·欧内斯特·加西亚,Inez Gomez,希德·格鲁曼,丽泰·格雷,雷·格雷,F.F. Guenste,Jack Herrick,George Holt,Jean Huntley,Gladys Johnston,Fred Karno Jr.,Elias Lazaroff,Joan Lowell,Chris-Pin Martin,Clyde McAtee,John Millerta,贝蒂莫里西,Florence Murth,约翰兰德,Tiny Sandford,Frank Stockdale,Frank Rice,Lillian Rosine,C.F. Roark,Armand Triller,John Wallace,Tom Wood,Ed Wilson,Bess Wade"
21,9.1,"喜剧,爱情",美国,马戏团,"阿尔·欧内斯特·加西亚,梅尔纳·肯尼迪,Harry Crocker,George Davis,亨利·伯格曼,Tiny Sandford,约翰兰德,查理·卓别林,艾伯特·奥斯汀,Stanley Blystone,海尼·康克林,Toraichi Kono,贝蒂莫里西,L.J. O'Connor,杰克 P. 皮尔斯,Hugh Saxon,Armand Triller,吉恩·巴瑞,乔治·W·戴维斯"
22,9.1,"动画,喜剧",美国,欢乐树的朋友们,
23,9.1,"喜剧,动画",美国,欢乐树的朋友们：滑雪巡逻救生队,"沃伦·格拉夫,比利·维斯特,凯恩·纳瓦罗"
24,9.0,"剧情,喜剧",中国大陆,我不是药神,"徐峥,王传君,周一围,谭卓,章宇,杨新鸣,王佳佳,王砚辉,贾晨飞,龚蓓苾,宁浩,李乃文,岳小军,苇青,富冠铭,巴拉特·巴蒂,喜利图,张海艳,朱耕佑,张子贤,邓飞,任洛敏,杜子蓝,刘兴雷"
25,9.0,"剧情,喜剧,爱情",美国,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,安东尼·爱德华兹,约翰·马奥尼,佩内洛普·安·米勒,艾丹·奎因,凯文·韦斯曼,摩根·莉莉,瑞安·克茨纳,吉莉安·普法夫,迈克尔·博萨,博·勒纳,杰奎琳·埃沃拉,泰勒·格鲁秀斯,艾莉·布莱恩特,阿什莉·泰勒,伊瑟尔·布罗萨德,科迪·霍恩,迈克尔·博尔顿,肖恩·哈珀,斯戴芬妮·斯考特,帕特丽夏·伦茨,马修·戈尔德,阿罗拉·凯瑟琳·史密斯,凯莉·唐纳利,索菲亚·撒高,米歇尔·梅斯默,Scott Joel Gizicki,Rod Myers,Kara Pacitto,Katelyn Pacitto"
26,9.0,"喜剧,动画,奇幻,音乐",美国,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉岑贝格,以利亚·罗德里格斯"
27,9.0,"剧情,喜剧,动画,冒险",美国,飞屋环游记,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,戴尔里·林多,杰罗姆·兰福特,约翰·拉岑贝格,大卫·卡耶,艾丽·道克特,杰里米·利里,米凯·麦高万,丹尼·曼恩,唐纳德·富利洛夫,杰斯·哈梅尔,乔什·库雷,彼特·道格特,布兰达∙查普曼,泰迪·牛顿,保罗·伊丁,托尼·弗希勒,雪莉·琳恩"
28,9.0,"喜剧,爱情,奇幻,古装","香港,中国大陆",大话西游之月光宝盒,"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚,江约诚,陆树铭,刘镇伟,朱茵,李健仁,许敬义,胡立成,蔡少芬"
29,9.0,"喜剧,剧情,爱情",美国,罗马假日,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,哈特利·鲍尔,哈考特·威廉姆斯,Margaret Rawlings,托里奥·卡米纳提,Paolo Carlini,Claudio Ermelli,保拉·布鲁布尼,里佐·弗雷多里佐,Laura Solari,Gorella Gori,Armando Annuale,毛里齐奥·阿雷纳,Silvio Bagolini,Gildo Bocci,Franco Corsaro,John Cortay,Vittoria Crispo,Sidney Gordon,Luigi Moneta,Piero Pastore,米莫·波利,Carlo Rizzo,Gianna Segale,阿梅代奥·特里利,Helen Tubbs,Marco Tulli,Joop van Hulzen,Catherine Wyler,Judy Wyler,陆建艺,金毅"
30,9.0,"喜剧,歌舞,爱情",美国,雨中曲,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,简·哈根,米勒德·米切尔,赛德·查里斯,达格拉斯·福雷,丽塔·莫雷诺,道恩·艾达丝,John Albright,Betty Allen,Bette Arlen,David Bair,玛格丽特·伯特,Madge Blake,Gail Bonney,Chet Brandenburg,梅·克拉克,Harry Cody,Chick Collins,Pat Conway,Jeanne Coyne,Fred Datig Jr.,Kay Deslys,John Dodsworth,金·多诺万,Phil Dunham,海伦·艾比罗克,Richard Emory,Tommy Farrell,Ernie Flatt,贝丝·弗劳尔斯,罗伯特·福捷,Dan Foster,Robert Foulk,Eric Freeman,凯瑟琳·弗里曼,兰斯·富勒,杰克·乔治,John George,Inez Gorman,A. Cameron Grant,Beatrice Gray,William Hamel,山姆·哈里斯,Timmy Hawkins,Jean Heremans,斯图尔特·霍姆斯,肯纳G.肯普,迈克·拉里,乔伊·兰辛,William F. Leicester,Sylvia Lewis"
31,9.0,"喜剧,剧情,战争",美国,大独裁者,"查理·卓别林,宝莲·高黛,杰克·奥克,Carter DeHaven,Billy Gilbert,Grace Hayle,雷金纳德·加德纳,邱岳峰"
32,9.0,"剧情,喜剧,动作,战争,冒险",美国,将军号,"巴斯特·基顿,玛丽昂·马克,格伦·卡文德,吉姆·法利,弗雷德里克·弗鲁姆,查尔斯·亨利·史密斯,弗兰克·巴恩斯,乔·基顿,麦克·多林,汤姆·纳恩,波利斯·卡洛夫,安东尼·哈维"
