rank,score,types,regions,title,actors
68,8.8,"喜剧,动画,奇幻,冒险,音乐","英国,美国",黄色潜水艇,"保罗·安吉利斯,约翰·克莱夫,迪克·埃默里,杰弗里·休斯,兰斯·珀西瓦尔"
69,8.8,"喜剧,剧情","意大利,法国",阿玛柯德,"普佩拉·玛奇奥,阿尔曼多·布兰恰,玛加丽·诺尔,奇乔·因格拉西亚,南多·奥尔费伊,布鲁诺·扎宁,吉安菲利波·卡尔卡诺,约瑟琳·坦齐利,玛利亚·安东涅塔·贝卢齐,Donatella Gambini,Antonino Faa Di Bruno"
70,8.8,"喜剧,爱情,惊悚",美国,安全至下,"哈罗德·劳埃德,米尔德丽德·戴维斯,比尔·斯特罗瑟,诺厄·扬,韦斯科特·克拉克,Roy Brooks,Mickey Daniels,Richard Daniels,Ray Erlenborn,William Gillespie,Helen Gilmore,Wallace Howe,杰姆斯-凯利,Gus Leonard,Sam Lufkin,Marie Mosquini,弗雷德·C·纽迈尔,Charles Stevenson,Anna Townsend"
71,8.8,"喜剧,家庭,爱情",美国,七次机会,"巴斯特·基顿,T.罗伊·巴尔内斯,辛兹·爱德华,露丝·德怀尔,弗朗西丝·雷蒙德,朱尔斯·考尔斯,Judy King,Doris Deane,Rosa Gore,Eugenia Gilbert,Marion Harlan,Hazel Deane,Louise Carver,让·C·阿韦,琪恩·亚瑟,Lori Bara,Rosalind Byrne,Bartine Burkett,康斯坦斯·塔尔梅奇"
72,8.8,"喜剧,战争",美国,从军记,"查理·卓别林,希德·卓别林,艾德娜·珀薇安丝,洛亚尔·安德伍德,亨利·伯格曼,汤姆·威尔森,艾伯特·奥斯汀,杰克·威尔逊"
73,8.8,"喜剧,剧情,家庭",捷克,秋天里的春光,"伏拉基米尔·布劳德斯基,史黛拉·查娜克娃,Stanislav Zindulka,翁德雷·维特希,佩特拉·斯贝尔克瓦,伊里·拉布斯,Zita Kabátová,Katerina Pindejová,卢博米尔·科斯特尔卡,Juraj Johanides,Zuzana Fialová,西蒙娜·史达索娃,Magdalena Sidonová,Vlastimil Zavrel,Martin Sitta,Kristýna Vyletová,Sandra Fronková,Dominika Kofránková,Roman Jedlicka"
74,8.8,"喜剧,动画",英国,小羊肖恩：美好时光,"贾斯汀·弗莱彻,约翰·斯帕克斯,理查德·韦伯,凯特·哈伯"
75,8.8,"剧情,喜剧,爱情,家庭",日本,儿子,"三国连太郎,永濑正敏,和久井映见,原田美枝子,田中隆三,浅田美代子,山口良一,浅利香津代,高峰凯希,浜村淳,梅津荣,井上千蔵,中本贤,小仓一郎,村田正雄,松村达雄,中村芽衣子,音无美纪子,奈良冈朋子,佐藤B作,碇矢长介,田中邦卫"
76,8.8,喜剧,中国大陆,三毛学生意,"文彬彬,刘侠声,嫩娘,范哈哈,张雁,于飞"
77,8.7,"喜剧,爱情","法国,德国",天使爱美丽,"奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔日·梅兰,贾梅尔·杜布兹,克洛蒂尔德·莫勒,克莱尔·莫里耶,伊莎贝尔·南蒂,多米尼克·皮侬,阿尔蒂斯·德·彭居埃恩,友兰达·梦露,于尔班·康塞利埃,莫里斯·贝尼舒,米歇尔·罗班,安德烈·达芒,克洛德·佩隆,阿尔梅尔,迪基·奥尔加多,Kevin Fernandes,弗洛拉·吉耶,阿莫里·巴博尔,欧仁·贝蒂埃,让·达里,马克·阿米约,安德烈·杜索里埃,林原惠美,姜广涛"
78,8.7,"喜剧,动画,冒险",美国,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞恩·雷诺兹,凯瑟琳·基纳,克萝丽丝·利奇曼,克拉克·杜克,克里斯·桑德斯,兰迪·汤姆,范晓萱,梁家辉"
79,8.7,"喜剧,剧情,爱情",香港,喜剧之王,"周星驰,张柏芝,莫文蔚,吴孟达,林子善,田启文,李兆基,成龙,李思捷,郑文辉,郑祖,胡立成,袁富华,冯勉恒,叶竞生,徐志雄,侯焕玲"
80,8.7,"喜剧,奇幻,武侠,古装",香港,射雕英雄传之东成西就,"梁朝伟,林青霞,张国荣,叶玉卿,张学友,王祖贤,张曼玉,梁家辉,刘嘉玲,钟镇涛,鲍起静,林芳雪,尹尚林,麦伟章"
81,8.7,"喜剧,动画,冒险",美国,头脑特工队,"艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克,敏迪·卡灵,凯特林·迪亚斯,戴安·琳恩,凯尔·麦克拉克伦,波拉·庞德斯通,鲍比·莫尼汉,宝拉·佩尔,大卫·戈尔兹,弗兰克·奥兹,乔什·库雷,弗利,约翰·拉岑贝格,卡洛斯·阿拉斯拉奇,皮特·萨加尔,拉什达·琼斯,罗里·艾伦,约翰·齐甘,雪莉·琳恩,拉瑞恩·纽曼,帕丽斯·冯·戴克,特蕾莎·甘泽尔,鲍伯·伯根,杰夫·奎卡,张震,山新,佟心竹"
82,8.7,"喜剧,剧情,爱情",美国,幸福终点站,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,齐·麦克布赖德,迭戈·卢纳,巴里·沙巴卡·亨利,库玛·帕拉纳,佐伊·索尔达娜,埃迪·琼斯,祖德·塞克利拉,科瑞·雷诺兹,古列雷莫·迪亚兹,里尼·贝尔,瓦列里·尼古拉耶夫,迈克尔·诺里,Bob Morrisey,萨沙·斯皮尔伯格,苏珊·索洛米,卡尔利斯·布克,Stephon Fuller,丹·芬纳蒂,Lydia Blanco,肯尼斯·崔,卡斯·安瓦尔,康拉德·皮拉,杜桑恩·杜基齐,马克·伊瓦涅,Benny Golson,斯科特·安第斯,罗伯特·科瓦吕比亚,Dilva Henry,卡尔艾拉切,Hayati Akbas,艾力克斯·伯恩斯,埃莱娜·卡多纳,Dan Chase,查得·R·戴维斯,Antonella Elia,Michael Eliopoulos,Marston Fobbs,Riad Galayini,杰拉德·加纳,Justin Rodgers Hall,Mohammed Hassan,Amber Havens,Ksenia Jarova,Barry Julien,Svilena Kidess,Zuzana Monroe,艾丽西亚·奥奇瑟,本杰明·奥切恩格,梅尔·罗德里格斯,阿尼·萨瓦"
83,8.7,"喜剧,动画,奇幻,冒险",美国,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,杰克·麦克布瑞尔,简·林奇,艾伦·图代克,敏迪·卡灵,乔·洛·特鲁格里奥,艾德·奥尼尔,丹尼斯·海斯伯特,伊迪·迈克莱尔,雷蒙德·S·佩尔西,杰斯·哈梅尔,瑞秋·哈里斯,斯盖拉·阿斯丁,亚当·卡罗拉,霍拉提奥·桑斯,莫里斯·拉马奇,斯戴芬妮·斯考特,约翰·迪·马吉欧,瑞奇·摩尔,凯蒂·洛斯,贾米·埃曼,乔西·特立尼达,辛贝·沃克,塔克·吉莫尔,布兰登·斯考特,蒂姆·梅尔滕斯,凯文·迪特斯,杰洛·里佛斯,马丁·贾维斯,布莱恩·克辛格,罗杰·克莱格·史密斯,菲尔·约翰斯顿,鲁本·兰登,凯尔·赫伯特,洁米·斯贝勒·罗伯茨,尼克·格里姆肖,胡军,谢娜,斯科特·门维尔"
84,8.7,"喜剧,爱情,奇幻",英国,时空恋旅人,"多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,莉迪亚·威尔逊,琳赛·邓肯,理查德·科德里,约书亚·麦圭尔,汤姆·霍兰德,玛格特·罗比,维尔·梅里克,凡妮莎·柯比,汤姆·休斯,哈利·海顿-佩顿,米切尔·马伦,丽莎·艾科恩,珍妮·莱恩斯福德,菲利普-沃斯,凯瑟琳·斯戴曼,汤姆·斯托顿,安部春香,李·阿斯奎斯-柯,理查德·班克斯,保罗·布莱克维尔,贝恩·科拉科,格拉姆·柯里,罗薇娜·戴蒙德,约翰·达根,迪诺·法赞尼,内芙·加切夫,理查德·E·格兰特,理查德·格雷弗斯,李·尼古拉斯·哈里斯,理查德·赫德曼,李仙湖,马修·C·马蒂诺,马汀·麦格,Alex Moore,艾薇·维,艾莎·哈特,黛博拉·罗桑,弗朗西斯卡·祖琪妮,朱莉·沃洛诺,阿曼达·伦贝里,尼可拉·芬恩"
85,8.7,"剧情,喜剧,动画,奇幻",中国大陆,哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮,张珈铭,杨卫"
86,8.7,"剧情,喜剧,犯罪",台湾,大佛普拉斯,"庄益增,陈竹昇,戴立忍,张少怀,陈以文,纳豆,丁国琳,李永丰,朱约信,雷婕熙,林美秀,小亮哥,游安顺,梁赫群,脱线,郑宇彤,鲁文学"
87,8.7,喜剧,"博茨瓦纳,南非",上帝也疯狂,"Marius Weyers,历苏,Sandra Prinsloo,Louw Verwey,Michael Thys,Nic de Jager"
88,8.7,"喜剧,歌舞,犯罪","美国,德国",芝加哥,"蕾妮·齐薇格,凯瑟琳·泽塔-琼斯,理查·基尔,奎恩·拉提法,约翰·C·赖利,刘玉玲,泰雅·迪格斯,克里斯汀·芭伦斯基,多米尼克·威斯特,杰恩·伊斯特伍德,苏珊·米斯纳尔,乔伊皮奇,叶卡捷琳娜切特希尔卡诺娃"
89,8.7,"剧情,喜剧",德国,再见列宁,"丹尼尔·布鲁尔,卡特琳·萨斯,丘尔潘·哈马托娃,弗洛里安·卢卡斯,亚历山大·拜尔,迈克尔·根帕,鲁迪·沃勒尔,克劳斯·奥根塔勒,吉多·布赫瓦尔德,米哈伊尔·戈尔巴乔夫,Hanna Schwamborn,于尔根·福格尔,阿尔恩特·施韦林·索瑞,汉斯·迪特里希·根舍,布尔格哈特·克劳斯纳,弗里茨罗斯,玛丽亚·西蒙,门南·雅博,洛塔尔·马特乌斯"
90,8.7,"喜剧,动画","法国,比利时,加拿大,英国,拉脱维亚",疯狂约会美丽都,"Béatrice Bonifassi,莉娜·布德罗,Michèle Caucheteux"
91,8.7,"喜剧,动画,奇幻",日本,河童之夏,"富泽风斗,横川贵大,田中直树,西田尚美,松元环季,植松夏希,羽佐间道夫,藤本让,富田耕生,一城美由希,岩田安生,稻叶实,平野正人,泷本富士子,成田剑,木村雅史 ,大川透,太田真一郎,田中一成,野上尤加奈,纳谷六朗,玄田哲章,乡里大辅,藤原启治,矢岛晶子,优希比吕,子安武人,阪口大助,大西健晴,岛香裕,中村千绘,永岛由子,宮本侑芽,安达直人,吉武怜朗,日高里菜,安原义人,柳乐健一,照屋年之"
92,8.7,"剧情,喜剧,爱情,同性",美国,面子,"陈冲,杨雅慧,陈凌,王进,王洛勇,杰西卡·赫特,李勋,奥托·艾森度,布莱恩·杨,Tina Johnson,帕米拉·佩顿-赖特,Danny Lee,Regina Lobiondo,大卫·石"
93,8.7,"剧情,喜剧,犯罪",美国,骗中骗,"保罗·纽曼,罗伯特·雷德福,罗伯特·肖,查尔斯·德恩,雷·沃尔斯顿,艾琳·布伦南,海尔德·高德,约翰·赫夫南,达纳·艾卡,杰克·基欧,米特拉阿利斯,Robert Earl Jones,James Sloyan,莎莉·柯克兰德,Avon Long,阿奇·约翰逊,埃德·巴基,布拉德·苏利文,John Quade,Larry D. Mann,Leonard Barr,Paulene Myers,杰克·科林斯,Tom Spratley,Kenneth O'Brien,Ta-Tanisha,William 'Billy' Benedict,Robert Brubaker,Peter Paul Eastman,凯瑟琳·弗里曼,Susan French,Sig Frohlich,Ralph Gambina,George Holmes,Sid Kane,迈克·拉里,Alexander Lockwood,Chuck Morrell,拜伦·莫罗,Jessica Rains,珀尔·希尔,Arthur Tovey"
94,8.7,"喜剧,爱情",美国,一夜风流,"克拉克·盖博,克劳黛·考尔白,沃尔特·康诺利,罗斯科·卡恩茨,詹姆森·托马斯,艾伦·海尔,亚瑟·霍伊特,布朗什·弗雷德里克,查尔斯·C·威尔逊,克莱尔·麦克道尔,Mickey Daniels,沃德·邦德"
95,8.7,"喜剧,剧情,爱情","俄罗斯,法国,意大利,捷克",西伯利亚的理发师,"朱莉娅·奥蒙德,欧列格·缅希科夫,阿列克谢·彼得连科,理查德·哈里斯,弗拉基米尔·伊利因,马拉特·巴沙罗夫,安德烈·巴利罗,尼基塔·米哈尔科夫,安娜·米哈尔科娃,玛丽娜·涅约洛娃,姜广涛"
96,8.7,"爱情,喜剧,剧情",美国,桃色公寓,"杰克·莱蒙,雪莉·麦克雷恩,弗莱德·麦克莫瑞,雷·沃尔斯顿,伊迪·亚当斯,乔伊丝·詹姆森,大卫·刘易斯,大卫·麦克林,琼·肖丽,约翰尼·塞文,娜奥米·史蒂文斯,威拉德·沃特曼,奥佩·霍利迪,杰克·克鲁申,多萝西·阿伯特,哈尔·史密斯,比尔·鲍德温,本尼·伯特,梅森·科里,弗朗西丝·温特劳布·拉克斯,戴维沃特"
97,8.7,"喜剧,奇幻,爱情",美国,开罗紫玫瑰,"米亚·法罗,杰夫·丹尼尔斯,丹尼·爱罗,James Prendergast,黛安·韦斯特,约翰·伍德"
98,8.7,"剧情,喜剧","意大利,法国",甜蜜的生活,"马塞洛·马斯楚安尼,安妮塔·艾克伯格,阿努克·艾梅,伊冯·弗奴克丝,玛加丽·诺尔,莱克斯·巴克,安尼巴莱·宁基,瓦尔特·圣泰索,贾可·塞纳斯,里卡尔多·加罗内,瓦莱里娅·创可蒂尼,娜迪亚·格雷,阿兰·居尼,伊妲·伽利,劳拉·贝蒂,尼可"
99,8.7,喜剧,美国,黄阿丽：小眼镜蛇,黄阿丽
100,8.7,"剧情,喜剧,同性,音乐",美国,摇滚芭比,"约翰·卡梅隆·米切尔,米利亚姆·肖尔,安德列·马丁,阿尔贝塔·瓦特森,迈克尔·皮特,毛里斯·迪恩·温特"
101,8.7,"喜剧,爱情,剧情",美国,街角的商店,"玛格里特·苏利文,詹姆斯·斯图尔特,弗兰克·摩根,约瑟夫·斯柴德克劳特,萨拉·黑登,Mira McKinney,Edwin Maxwell,雷妮·里亚诺,Charles Smith,William Tracy,恩斯特·刘别谦,查尔斯·霍尔顿,Grace Hayle,玛丽·卡尔,查尔斯·阿恩特,Joan Blair,Mabel Colcord,伊内兹·考特尼,菲利克斯·布雷萨特,克莱尔杜布里,Sarah Edwards,William Edmunds"
102,8.7,喜剧,日本,早安,"杉村春子,笠智众,久我美子,三宅邦子,佐田启二,设乐幸嗣,岛津雅彦,高桥丰子,泽村贞子,东野英治郎,长冈辉子,三好荣子,田中春男,大泉滉,樱睦子,殿山泰司,泉京子"
103,8.7,喜剧,瑞典,毕加索的奇异旅程,"约斯塔·埃克曼,汉斯·艾尔佛森,玛格丽塔·克罗克,莉娜·奥琳,伯纳德·克理宾斯,Wilfrid Brambell,Lennart Nyman,帕尔·奥斯卡森,Elisabeth Söderström,Birgitta Andersson,芒努斯·黑伦斯坦,Sune Mangs,Yngve Gamlin,Lisbeth Zachrisson,莱娜·尼曼,Tom Younger,Rolv Wesenlund,斯文·林德贝里,贡纳尔·奥西安德,昂内塔·普吕茨,约迪丝·彼得松,Toivo Pawlo,Folke Lind,Olle Ljungberg,Marga Pettersson,Lasse Pöysti,Gösta Winbergh,Birgitta Ulfsson,Ove Sprogøe,Stellan Sundahl,Bengt-Olof Landin,Ulf Andrée,Jytte Abildstrøm,派·亚伯,Jim Hughes,Anders Granström,Jan Allan,Lissi Alandh,Jarl Borssén,Moltas Eriksson,Hatte Furuhagen,Karin Ekström,雷蒙·比西埃尔,Bengt Brunskog,Gregor Dahlman,托马斯·阿尔弗莱德森"
104,8.7,"剧情,喜剧,爱情,战争","塞尔维亚和黑山,法国,意大利",生命是个奇迹,"斯拉夫科·斯提马科,娜塔莎·塔普什科维奇,乌克·科斯蒂奇,亚力克斯桑德·贝奇科,米尔亚娜·卡拉诺维奇,维斯娜切瓦里克,尼古拉·科约,达沃尔·贾尼奇,达娜托多罗维茨,温内莎格拉丘,Josif Tatic,Dr. Nele Karajlic,Zorica Jovanovic"
105,8.7,"喜剧,犯罪,剧情",美国,凡尔杜先生,"查理·卓别林,马迪·科雷尔,艾莉森·罗丹,罗伯特·刘易斯,安德丽·贝茨,玛莎·雷伊,阿达·梅,伊索贝尔·埃尔索姆,玛乔丽·本尼特,海伦娜·海格,玛格丽特·霍夫曼,玛丽莲·纳什,欧文·培根,埃德温·米尔斯,弗吉尼亚·布里萨克,邱岳峰"
106,8.7,"喜剧,剧情","英国,爱尔兰,法国",生命的舞动,"詹姆斯·麦卡沃伊,史蒂文·罗伯特森,萝玛拉·嘉瑞,迪尔德丽·奥卡尼,Eamonn Hunt,亚当·弗格斯,杰拉德·迈克索利,Michele Forbes,Emmet Kirwan"
107,8.7,"喜剧,剧情,音乐,爱情",美国,舞台春秋,"查理·卓别林,巴斯特·基顿,克莱尔·布鲁姆,尼格尔·布鲁斯,悉尼·卓别林,诺曼·劳埃德,杰拉丁·卓别林"
108,8.7,喜剧,意大利,警察与小偷,"托托,阿尔多·久弗瑞,埃内斯托·阿尔米兰特,朱利奥·卡利,阿尔多·法布里齐,吉诺莱乌里尼,阿薇·宁基,Pina Piovani,威廉·塔布斯,卡罗·德力·毕亚勒,Rocco D'Assunta,彼得洛卡罗尼,Alida Cappellini,罗桑娜·珀德斯塔,邱岳峰"
109,8.7,"喜剧,动画","USA,美国",两头笨狗,"罗伯·鲍森,盖瑞·欧文斯,金米·罗伯特森,凯斯·索西,尚塔尔·斯特兰德,比利·维斯特,Tawni Tamietti,Lionel G. Wilson,Candi Milo,卡罗尔·钱宁,杰斯·哈梅尔,弗兰克·维尔克,吉姆·库宁斯,南茜·卡特莱特,Casey Kasem,John Kricfalusi,本·斯蒂勒,珍妮·弗雷,布瑞恩·卡明斯,托尼·杰,汤姆·肯尼,特蕾丝·麦克尼尔,布拉德·加内特"
110,8.7,"喜剧,犯罪",美国,千面佳人,"娜塔莉·伍德,伊安·邦纳,迪克·肖恩,彼得·法尔克,乔纳森·温特斯,丽拉·柯卓娃,娄·雅可比,诺玛·可瑞,阿瑟·马利特,杰罗姆·柯万,阿琳·戈隆卡,阿姆齐·斯特里克兰,比尔·冈,卡尔·巴兰蒂尼,伊吉·沃尔芬顿,霍普·萨默斯,比尔·奎因,Christopher Riordan,乔治·N·奈泽,弗里兹·费尔德,John Daheim,Lewis Charles,伊迪丝·埃文森,Joey Faye"
111,8.7,"剧情,喜剧,传记",美国,三个臭皮匠,"伊万·汉德勒,安娜·丽丝·菲利普斯,马尔顿·索克斯,乔尔·埃哲顿,迈克尔·切克利斯,保罗·本-维克托,穆雷·巴特利特,Tamsin Carroll,Helen Dallimore,刘易斯·菲茨-杰拉德,约翰·卡西尔,Peter Scarf,瑞切尔·布莱克,皮帕·格兰迪森"
112,8.7,喜剧,美国,瑞奇·热维斯：人性,瑞奇·热维斯
113,8.6,"喜剧,动作,科幻,动画,冒险",美国,超能陆战队,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,杰米·钟,小达蒙·韦恩斯,珍尼希斯·罗德里格兹,詹姆斯·克伦威尔,艾伦·图代克,玛娅·鲁道夫,亚布拉哈姆·本鲁比,凯蒂·洛斯,比利·布什,丹尼尔·吉尔森,保罗·布里格斯,斯坦·李,查尔斯·阿德勒,菅野美穗,郝祥海,乔西·特立尼达,Dan Howell,大卫·肖内西,夏洛特·古列齐"
114,8.6,"喜剧,剧情,爱情","英国,美国,法国",真爱至上,"休·格兰特,科林·费尔斯,艾玛·汤普森,凯拉·奈特莉,连姆·尼森,托马斯·布罗迪-桑斯特,比尔·奈伊,马丁·弗瑞曼,劳拉·琳妮,艾伦·瑞克曼,克里斯·马歇尔,罗德里戈·桑托罗,罗温·艾金森,比利·鲍伯·松顿,玛汀·麦古基安,安德鲁·林肯,露西娅·莫尼斯,海克·玛卡琪,伊丽莎·库斯伯特,切瓦特·埃加福特,詹纽瑞·琼斯,马库斯·布里斯托克,理查德·柯蒂斯,奥利维亚·奥尔森,克劳迪亚·席弗,阿卜杜勒·萨利斯,丹·弗雷登堡,格莱格·费什尔,亚当·戈德利,西耶娜·盖尔利,丹妮丝·理查兹,尼娜·索珊娅,乔安娜·佩吉,Tony Lucken,Richard Hawley,朱莉娅·戴维斯"
115,8.6,"儿童,喜剧,动画,奇幻,冒险",美国,怪兽电力公司,"约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉岑贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德,王伟忠,黄子佼,胡立成,雪莉·琳恩,李·昂克里奇,比尔·法玛尔,华莱士·肖恩,李立宏"
116,8.6,"剧情,喜剧,音乐","英国,德国,法国",海盗电台,"比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,尼克·弗罗斯特,汤姆·斯图里奇,瑞斯·伊凡斯,瑞斯·达比,克里斯·奥多德,妲露拉·莱莉,凯瑟琳·帕金森,杰克·达文波特,拉尔夫·布朗,查理·罗,杰玛·阿特登,克里斯托弗·古梅鲁斯,波比·迪瓦伊,汤姆·布鲁克,奥利维亚·卢埃林,詹纽瑞·琼斯,汤姆·威斯多姆,艾玛·汤普森"
117,8.6,"冒险,喜剧,剧情",美国,遗愿清单,"杰克·尼科尔森,摩根·弗里曼,西恩·海耶斯,贝弗利·陶德,罗伯·莫洛,阿方索·弗里曼,韦尔达·布里奇斯,伊恩·安东尼·代尔,诺尔·古格雷米,尼基·诺瓦克,罗文娜·金,詹妮弗·迪弗朗西斯科,安吉拉·加德纳,乔纳森·赫尔南德斯"
118,8.6,"剧情,喜剧,同性",台湾,谁先爱上他的,"邱泽,谢盈萱,陈如山,黄圣球,周洺甫,梁正群,杨丽音,安哲,高隽雅,吴定谦,禾语辰,钟欣凌,万芳,高爱伦"
119,8.6,"儿童,喜剧,家庭","法国,比利时",巴黎淘气帮,"马克西姆·戈达尔,瓦莱丽·勒梅西埃,凯德·麦拉德,桑德琳娜·基贝兰,弗朗索瓦-格扎维埃·德梅松,米歇尔·迪绍苏瓦,丹尼尔·普雷沃,米歇尔·加拉布吕,雅尼莫尼,弗朗索瓦·达密安,露易丝·布尔昆,樊尚·克洛德,夏尔·瓦扬,维克托·卡莱斯,本杰明·阿弗蒂,小日尔曼·达米科,达米安·费多尔,维吉尔·蒂拉尔,伊丽莎·欧斯,热拉尔·朱尼奥,洛朗·蒂拉尔"
120,8.6,"喜剧,科幻,冒险",美国,回到未来,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,克里斯平·格洛弗,托马斯·F·威尔森,克劳迪娅·韦尔斯,马克·麦克卢尔,温迪·乔·斯佩博,乔治·第桑佐,弗兰西斯·李·麦克凯恩,詹姆斯·托根,J·J·科恩,凯西·希玛兹科,比利·赞恩,小哈利·沃特斯,唐纳德·富利洛夫,丽萨·弗里曼,克里斯滕·考夫曼,休易·路易斯,艾尔莎·瑞雯,查尔斯·L·坎贝尔,罗伯特·克兰茨,贾森·赫维,Jeff O'Haco,Tom Willett,Tiger,玛丽·艾伦·特雷纳,德博拉·哈蒙,艾薇·贝瑟恩,麦娅·布鲁顿,诺曼·阿尔登,Tom Tangen,Will Hare,Tommy Thomas,加里·莱利,Read Morgan,Karen Petrasek,考特尼·盖恩斯,萨奇·帕克,Jason Marin,George 'Buck' Flower"
121,8.6,"剧情,儿童,喜剧",法国,蝴蝶,"米歇尔·塞罗尔,柯莱儿·布翁尼许,娜德·蒂约,奥黛丽·玛丽奥,弗朗索瓦·米肖,海伦·伊利,伊蒂格·斯特凡"
122,8.6,"喜剧,剧情,爱情",美国,安妮·霍尔,"伍迪·艾伦,黛安·基顿,谢莉·杜瓦尔,保罗·西蒙,卡罗尔·凯恩,克里斯托弗·沃肯,西格妮·韦弗,查尔斯·莱文,马歇尔·麦克卢汉,托尼·罗伯茨,杜鲁门·卡波特"
123,8.6,"儿童,喜剧",泰国,小情人,"查理·瑞纳,霍嘉丝·芝华顾,Chaleumpol Tikumpornteerawong,Preecha Chanapai,Nipawan Taveepornsawan,Anusara Chantarangsi,Wongsakorn Rassamitat,Prem Tinsulanonda,Charwin Jitsomboon"
124,8.6,"剧情,喜剧,犯罪",美国,热天午后,"阿尔·帕西诺,约翰·凯泽尔,查尔斯·德恩,克里斯·萨兰登,詹姆斯·布罗德里克,约翰·马里奥特,苏利伯维尔,比尤拉加里克,卡罗尔·凯恩,玛西娅·让·库尔茨,埃斯特尔奥曼斯,加里·斯普林格,朱迪丝·马利纳,Susan Peretz,Lionel Pina,罗伯特·康斯坦佐,肯尼思·麦克米伦,多米尼克·查尼斯,迪克·安东尼·威廉姆斯,兰斯·亨利克森"
125,8.6,"剧情,喜剧,家庭",美国,内布拉斯加,"布鲁斯·邓恩,威尔·福特,琼·斯奎布,鲍勃·奥登科克,斯泰西·基齐,玛丽·路易丝·威尔逊,兰斯·霍华德,蒂姆·德里斯科尔,戴文·雷特瑞,安吉拉·迈克伊万,格伦多拉·斯蒂特,伊丽莎白·穆尔,凯文·孔克尔,丹尼斯·麦科伊格,罗纳德·沃斯塔,米茜·多蒂"
126,8.6,"喜剧,剧情",台湾,麻将,"柯宇纶,张震,林海象,唐从圣,维吉妮·拉朵嫣,金燕玲,王启赞,尼克·埃里克森,柯一正,王柏森,张国柱,吴家丽,徐明,顾宝明,陈欣慧,T.C.林"
127,8.6,"喜剧,家庭,奇幻,惊悚",美国,亚当斯一家的价值观,"克里斯汀·芭伦斯基,Lenny Wilson,彼特·麦尼科,Joey Wilcots,Jimmy Workman,莫奈特·玛佐,Micah Winkelspecht,Jason Fife,Alex Gaona,卡雷尔·斯特鲁基,Rob Sanchez,Vickilyn Reynolds,大卫·克鲁霍尔特兹,克里斯蒂娜·里奇,梅塞德斯·麦克纳博,劳尔·胡里亚,托尼·夏尔赫布,克里斯托弗·洛伊德,琼·库萨克,丹娜·爱薇,卡罗尔·凯恩,John Franklin,安杰丽卡·休斯顿,内森·连恩,山姆·麦克莫里,巴里·索南菲尔德,辛西娅·尼克松,伊安·艾伯克龙比,Charles Busch,卡米利·萨维奥拉,Douglas Brian Martin,Steven M. Martin,哈里特·桑塞姆·哈里斯,Kaitlyn Hooper,Micah Hata,皮特·格拉维斯,Kristen Hooper,Julie Halston,克里斯·埃里斯,劳拉·伊斯特曼,Lois De Banzie,Karl David-Djerf,Eyde Byrde,谢丽尔·蔡斯,大卫·海德·皮尔斯"
128,8.6,"喜剧,科幻,动画,冒险",美国,钢铁巨人,"艾力·马伦斯奥,范·迪塞尔,小哈里·康尼克,詹妮弗·安妮斯顿,克里斯托弗·麦克唐纳,詹姆斯·盖蒙,克萝丽丝·利奇曼,约翰·马奥尼,M·埃梅特·沃尔什,鲍伯·伯根,奥利·约翰斯顿,法兰克·汤玛斯,德文·科尔·博里索夫,杰克·安杰尔,罗德格尔·邦帕斯,玛丽·凯·伯格曼,比尔·法玛尔,雪莉·琳恩"
129,8.6,"喜剧,剧情",日本,笑之大学,"役所广司,稻垣吾郎,高桥昌也,小松政夫,木村多江,加藤爱,八岛智人,矢柴俊博,伊勢志摩"
130,8.6,"喜剧,剧情,音乐","法国,意大利,罗马尼亚,比利时",音乐会,"梅拉尼·罗兰,阿列克塞·古斯科夫,弗朗索瓦·贝莱昂,缪缪,利昂尔·阿贝兰斯基,朗齐·贝迪亚,沃尔特·瑞拉,瓦西里·奇金斯基,瓦列里·巴林诺夫,伊昂·萨普达鲁,David Bird,Noel Dyson,Peter Jones,Barbara Murray,伊丽莎白·艾兰"
131,8.6,"剧情,喜剧,历史",印度,芭萨提的颜色,"阿米尔·汗,悉塔尔特,沙尔曼·乔希,库纳尔·卡普尔,阿图尔·库尔卡尼,彭雅思,苏哈.阿里汗,斯蒂文·麦金托什,马达范,瓦希达·拉赫曼,阿努潘·凯尔,凯伦·凯尔,欧姆·普瑞,西达尔特"
