name,price,commit,market
￥74.00,每满100减50 (7.29-8.4),"Assassin's Creed: Brotherhood刺客信条:兄弟会 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",40+条评价
"刺客信条艺术设定集：起源 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥268.00,2.5万+条评价,新星出版社
"刺客信条：可汗陵 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥28.10,400+条评价,接力出版社自营店铺
微软 XBOX One S游戏/XBOXONE X游戏正版游戏光盘 刺客信条 奥德赛 刺客信条8 中文,￥259.00,1000+条评价,星云漫天游戏设备专营店
"猎魔人1-4（套装4册） 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥98.70,7300+条评价,重庆出版集团
任天堂（Nintendo） Switch ns 游戏机 掌机游戏卡 NS游戏卡带 刺客信条3 中文 现货,￥249.00,90+条评价,俊宏数码专营店
海囤全球,￥223.00,索尼（SONY）PS4 Slim Pro热门 游戏软件光盘 正版原封现货 刺客信条奥德赛 中文 现货,2.5万+条评价
"刺客信条：黑旗艺术设定集 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥229.00,2.5万+条评价,新星出版社
【赠明信片+书签+游戏券】刺客信条大明风云 燕垒生 兄弟会刺客信条编年史 育碧奇幻游戏小说,￥37.80,0条评价,良朴图书专营店
任天堂（Nintendo） Switch NS 家用游戏主机游戏卡带 不锁区 刺客信条3重制版 中文,￥245.00,60+条评价,宁心力合数码专营店
￥118.20,盛夏阅读2件5折 (7.29-8.4),刺客信条 3册套装 末裔 可汗陵 诸神的命运 官方原创系列小说 游戏同人 暑期读好书，接力出版社精选童书，1件7折，2件5折！,4条评价
刺客信条 辛迪加刀剑道具1:1 枭雄剑杖 袖柺 拐杖 手杖 袖剑袖箭模型 爱德华 1比1 袖剑 刃可弹射 约40cm,￥88.00,50+条评价,招乾玩具专营店
现货当天发 全新PS4正版实体光盘 沙盒动作游戏 刺客信条2+启示录+兄弟会 合集 中文版,￥265.00,700+条评价,俱康游戏专营店
索尼（SONY） 【PS4slim/Pro正版中文游戏软件】热门游戏软件光盘 刺客信条7 起源 中文,￥199.00,4800+条评价,宁心力合数码专营店
刺客信条周边COS手杖手里剑大枭雄袖剑袖箭隐藏之刃可弹射 6代枭雄袖剑-现货,￥139.00,40+条评价,百川玩具专营店
索尼（SONY） PS4 Slim Pro 热门游戏 PS4 游戏光盘 正版原封 刺客信条 叛变 中文,￥188.00,300+条评价,潮品游戏数码专营店
全新现货 索尼 PS4 Slim Pro 正版游戏 沙盒动作系列 刺客信条5 大革命 中文版 支持所有版本的索尼PS4/PS4Pro/PS4Silm游戏机！,￥248.00,100+条评价,泽峰游戏专营店
微软（Microsoft）Xbox One/S/X 游戏光盘 正版游戏 刺客信条奥德赛【中文】 购买xbox双手柄套餐送【NBA2K19】大作篮球游戏！【限量抢购】,￥258.00,1400+条评价,微尼数码专营店
刺客信条官方小说 共10册 刺客信条大革命+末裔+异端+黑旗+等 游戏改编科幻奇幻系列小说,￥287.00,0条评价,香根香图书专营店
微软 Xbox One/S/X 游戏光盘/下载卡 正版游戏 光盘-刺客信条8奥德赛-中文动作类,￥266.00,100+条评价,极速电玩专营店
微软 Xbox One/S/X 游戏光盘 正版游戏 光盘-刺客信条7起源-中文动作类 微软XboxOneX单人版大镖客大作套装秒杀低至3599！带328款游戏！24号19点-25号19点限量抢！点击抢购！,￥248.00,200+条评价,蓝港电玩专营店
索尼（SONY) PS4Slim Pro游戏光盘全新原装正版游戏光碟PS4热门游戏软件 [ACT动作】 奥德赛 标准版,￥239.00,2900+条评价,索贵数码专营店
刺客信条小说全套全集 共15册 正版现货 刺客信条周边书籍 新华书店 送一套大明风云明信片（共3张）——套装含文艺复兴秘密圣战黑旗启示录大革命异端起源沙漠誓言大明风云奥德赛等,￥366.80,20+条评价,浙江外文图书专营店
"刺客信条：大明风云 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥54.00,2.5万+条评价,新星出版社
正版 刺客信条官方小说全套全集8册 文艺复兴秘密圣战黑旗启示录大革命异端等 刺客信条周边科幻小说书,￥179.00,1000+条评价,泽存图书专营店
"刺客信条：文艺复兴 暑气盛,书气长,自营图书每满100减50(具体优惠信息以商品详情页为准)点击抢购",￥37.00,2.5万+条评价,新星出版社
