rank,score,types,regions,title,actors
16,8.8,"剧情,犯罪,悬疑,惊悚",西班牙,看不见的客人,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,巴巴拉·莱涅,弗兰塞斯克·奥雷利亚,帕科·图斯,大卫·塞尔瓦斯,伊尼戈·加斯特西,圣·耶拉莫斯,马内尔·杜维索,布兰卡·马丁内斯,佩雷·布拉索,霍尔迪·布鲁内特,鲍比·冈萨雷斯,玛蒂娜·乌尔塔多,安妮可·韦尔茨,克里斯蒂安·巴伦西亚,贝茜·特内兹"
17,8.8,"剧情,犯罪,悬疑,惊悚",美国,七宗罪,"摩根·弗里曼,布拉德·皮特,凯文·史派西,格温妮斯·帕特洛,安德鲁·凯文·沃克,约翰·卡西尼,雷格·E·凯蒂,李·厄米,迈克尔·雷德·麦基,France Anglade,哈里斯·萨维德斯,迈克尔·麦斯,理查德·波特诺,查尔斯·达顿,Lexie Bigham,勒兰德·奥瑟,理查德·希夫,约翰·C·麦金雷,安德烈·胡勒斯"
18,8.8,"剧情,悬疑,科幻,惊悚","美国,加拿大",蝴蝶效应,"阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,埃尔登·汉森,威廉姆·李·斯科特,约翰·帕特里克·阿梅多利,艾琳·戈洛瓦娅,凯文·G·施密特,杰西·詹姆斯,罗根·勒曼,莎拉·威多斯,杰克·凯斯,卡梅隆·布莱特,埃里克·斯托尔兹,考乐姆·吉斯·雷尼,伊桑·苏普利,杰西·哈奇"
19,8.8,"剧情,悬疑,惊悚",美国,禁闭岛,"莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,马克斯·冯·叙多夫,米歇尔·威廉姆斯,艾米莉·莫迪默,派翠西娅·克拉克森,杰基·厄尔·哈利,泰德·拉文,约翰·卡洛·林奇,伊莱亚斯·科泰斯,罗宾·巴特利特,克里斯托弗·邓汉,约瑟夫·斯科拉,斯蒂夫·维亭,露比·杰琳斯,约瑟夫·莱迪,雷蒙德·安东尼·托马斯,马修·考尔斯,迈克尔·拜伦,肯·奇斯曼,科迪·哈特,亚历克斯·米尔恩,罗布·W·格雷,亚美利哥·普雷休蒂,拉尔斯·格哈德,丹尼·卡尼,贝茨·怀尔德,丹尼斯·林奇,吉尔·拉森,埃里克·罗林斯"
20,8.8,"剧情,悬疑,惊悚","美国,英国",致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,丽贝卡·豪尔,斯嘉丽·约翰逊,大卫·鲍伊,安迪·瑟金斯,派珀·佩拉博,萨曼塔·马霍林,丹尼尔·戴维斯,吉姆·皮多克,克里斯托弗·尼姆,马克·瑞安,罗杰·里斯,杰米·哈里斯,罗恩·帕金斯,瑞奇·杰,安东尼·德·马克,冀朝理,威廉姆·摩根·谢泼德"
21,8.8,"剧情,悬疑,惊悚",美国,第六感,"布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,奥莉维亚·威廉姆斯,唐尼·沃尔伯格,特拉沃·摩根,彼得·安东尼·唐伯蒂斯,格伦·菲茨杰拉德,米莎·巴顿,法尔德斯·巴姆,杰弗里·泽布尼斯,安吉丽卡·托恩,莉萨·萨默乌,M·奈特·沙马兰,Bruce Norris,基斯沃文德"
22,8.8,"动作,悬疑,惊悚","美国,德国",谍影重重3,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,斯科特·格伦,帕迪·康斯戴恩,埃德加·拉米雷兹,阿尔伯特·芬尼,琼·艾伦,克里·约翰逊,丹尼尔·布鲁尔,乔伊·安沙,科林·斯廷顿,丹·弗雷登堡,布兰科·托莫维奇,汤姆·加洛普,查尔斯·维恩,特雷弗·圣约翰,弗朗卡·波滕特,布莱恩·考克斯,马克·巴泽利,露西·莱曼,马克·莫特拉姆,迈克尔·怀德曼,凯·马丁,斯科特·阿金斯,杰弗里·李·吉布森"
23,8.8,"犯罪,剧情,悬疑",日本,罗生门,"三船敏郎,千秋实,京町子,森雅之,志村乔,本间文子"
24,8.8,"传记,剧情,历史,悬疑,惊悚","美国,法国",刺杀肯尼迪,"凯文·科斯特纳,茜茜·斯派塞克,汤米·李·琼斯,乔·佩西,加里·奥德曼,凯文·贝肯,杰克·莱蒙,唐纳德·萨瑟兰,托马斯·米连,约翰·坎迪,盖尔·克罗纳奥尔,乔·安德森,Edwin Neal,达里尔·考克斯,代尔·戴,乔治·R·罗伯逊,鲍勃·冈顿,马丁·辛,朗·瑞弗金,卡斯特罗,沃尔特·克朗凯特,吴俊全,李易,马可·佩雷拉,托尼·普拉纳,约翰·S.戴维斯,普路特·泰勒·文斯,Mike Kennedy,Victor Kempster,贝娅塔·波兹尼亚克,沃尔特·马修,加里·格鲁布斯,劳里·梅特卡夫,迈克尔·鲁克,韦恩·奈特,布赖恩·道尔,文森特·多诺费奥,爱德华·阿斯纳,杰伊·桑德斯,莎莉·柯克兰德"
25,8.8,"剧情,犯罪,悬疑",英国,神探夏洛克：最后的誓言,"本尼迪克特·康伯巴奇,马丁·弗瑞曼,阿曼达·阿宾顿,拉斯·米克尔森,琳赛·邓肯,西蒙·坤茨,婉妲·泛森,汤姆·布鲁克,亚斯明·阿克拉姆,乔纳森·阿里斯,露易丝·布瑞丽,安德鲁·斯科特,鲁珀特·格雷夫斯,马克·加蒂斯,尤娜·斯塔布斯"
