rank,score,types,regions,title,actors
11,9.3,"剧情,喜剧,爱情",美国,摩登时代,"查理·卓别林,宝莲·高黛,亨利·伯格曼,Tiny Sandford,切斯特·康克林,汉克·曼,Stanley Blystone,阿尔·欧内斯特·加西亚,理查德·亚历山大,Cecil Reynolds,Mira McKinney,Murdock MacQuarrie,威尔弗雷德·卢卡斯,Edward LeSaint,Fred Malatesta,Sammy Stein,Ted Oliver,Norman Ainsley,Bobby Barber,海尼·康克林,格洛丽亚·德黑文,Pat Flaherty,Frank Hagney,Pat Harmon,劳埃德·英格拉哈姆,沃尔特·詹姆斯,Edward Kimball,Jack Low,Buddy Messinger,Bruce Mitchell,Frank Moran,James C. Morton,Louis Natheaux,J·C·纽金特,拉斯·鲍威尔,约翰兰德,哈里·威尔逊"
12,9.3,"喜剧,剧情,爱情",美国,城市之光,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,亨利·伯格曼,珍·哈露,哈利·迈耶斯,约翰兰德,罗伯特·帕里什,罗伯特·格雷夫斯"
13,9.3,"爱情,动画,奇幻",中国大陆,狐妖小红娘剧场版：月红篇,"杨天翔,刘校妤,阿杰,张予佟,张凯,乔诗语,宝木中阳,图特哈蒙"
14,9.2,"剧情,喜剧,爱情,歌舞",印度,三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安,Atul Tiwari,阿里·扎勒,帕里卡沙特.萨赫尼,Rakesh Sharma,Javed Jaffrey"
15,9.2,"喜剧,爱情,奇幻,古装","香港,中国大陆",大话西游之大圣娶亲,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁,吴珏瑾,胡立成,付博文,许敬义,江约诚"
16,9.2,"剧情,爱情","意大利,法国",天堂电影院,"安东内拉·阿蒂利,恩佐·卡拉瓦勒,艾萨·丹尼埃利,里奥·故罗塔,马克·莱昂纳蒂,普佩拉·玛奇奥,阿格妮丝·那诺,莱奥波多·特里耶斯泰,萨瓦特利·卡西欧,尼古拉·迪·平托,罗伯塔·蕾娜,尼诺·戴罗佐,雅克·贝汉,菲利普·努瓦雷,玛丽娜·朱迪切,比阿特丽斯·帕姆,罗斯科·阿巴克尔,茹涅·阿斯托尔,伊格纳齐奥·巴尔萨莫,碧姬·芭铎,约翰·巴里摩尔,伊萨·巴尔齐扎,英格丽·褒曼,维尔玛·班基,克拉拉·卡拉马伊,查理·卓别林,加里·库珀,奥利维娅·德哈维兰,维托里奥·德西卡,柯克·道格拉斯,埃罗尔·弗林,布丽吉特·佛西,让·迦本,克拉克·盖博,葛丽泰·嘉宝,维托里奥·加斯曼,马西莫·吉洛蒂,法利·格兰杰,加里·格兰特,乔治亚·黑尔,劳伦斯·哈维,海伦·海丝,路易·茹韦,安娜·马尼亚尼,西尔瓦娜·曼加诺,马塞洛·马斯楚安尼,阿梅德奥·纳扎里,苏济·普里姆,唐娜·里德,简·拉塞尔,罗莎琳德·拉塞尔,伊冯娜·桑松,玛丽亚·雪儿,瑙玛·希拉,西蒙·西涅莱,阿尔贝托·索尔迪,詹姆斯·斯图尔特,朱塞佩·托纳多雷,托托,斯宾塞·屈塞,克莱尔·特雷弗,鲁道夫·瓦伦蒂诺,阿莉达·瓦利,约翰·韦恩,塔诺·希玛罗萨"
17,9.2,"剧情,爱情,奇幻",美国,生活多美好,"詹姆斯·斯图尔特,唐娜·里德,莱昂纳尔·巴里摩尔,托马斯·米切尔,亨利·崔佛斯,比尤拉·邦蒂,弗兰克·费伦,沃德·邦德,格洛丽亚·格雷厄姆,H.B.沃纳,弗兰克·艾伯森,托德·卡恩茨,萨缪尔·S·辛兹,玛丽·特琳,Virginia Patton,查尔斯·威廉姆斯,Sarah Edwards,William Edmunds,莉莲·伦道夫,Argentina Brunetti,Robert J. Anderson,Ronnie Ralph,Jeanine Ann Roose,Georgie Nokes,Sheldon Leonard,Frank Hagney,雷·沃克,查尔斯·莱恩,爱德华·基恩,Carol Coombs,卡罗琳·格兰姆斯,Larry Simms,Jimmy Hawkins,简·阿克,厄尼·亚当斯,曼雅·安德烈,斯坦利·安德鲁斯,Sam Ash,Jack Bailey,Brooks Benedict,Joseph E. Bernard,阿尔·布里奇,玛丽安·卡尔,阿德里亚娜·卡塞洛蒂,莱恩·钱德勒,Michael Chapin,Tom Chatterton,Jack Cheatham,Harry Cheshire,Edward Clark,Tom Coleman,埃伦·科比,Helen Dickson,Dick Elliott,汤姆·法登,Frank Fenton,埃迪·凡特思顿,Sam Flint,Dick Gordon,Joseph Granby,查尔斯·霍尔顿,Herbert Heywood,Harry Holman,Art Howard,Bert Howard,Arthur Stuart Hull,John Indrisano,艾迪·凯恩,Carl Kent,Milton Kibbee,Effie Laird,迈克·拉里,Harold Landon,Meade 'Lux' Lewis,Jack Lomas,J·法瑞尔·麦克唐纳,Wilbur Mack,Charles Meakin,伯特·穆尔豪斯,Evelyn Moriarty,Philip Morris,George Noisom,弗兰克·奥康纳,让·盖尔"
18,9.2,"剧情,传记,爱情",香港,南海十三郎,"谢君豪,苏玉华,吴绮莉,黄霑,潘灿良,张国权,陈志辉,陈琪,袁富华,邱万城,周志辉,田二喜,梁汉威,罗慧虹"
19,9.2,"剧情,爱情,家庭",中国大陆,哀乐中年,"石挥,朱嘉琛,沈扬,李浣青,韩非,崔超明,程之,路珊,莫愁,胡小琴,顾慕如,俞仲英,伊斯兰,叶明,林榛,田振东,周瑞德,姚思诚,于复瑛"
20,9.2,"剧情,喜剧,爱情",中国大陆,狐妖小红娘剧场版：王权富贵,"杨天翔,刘校妤,乔诗语,魏超,阎萌萌,张凯,范哲琛"
21,9.1,"剧情,爱情",中国大陆,芙蓉镇,"刘晓庆,姜文,郑在石,张光北,徐松子,祝士彬,刘利年,徐宁,麦文燕"
22,9.1,"剧情,爱情,战争","法国,比利时",沉静如海,"朱莉·德拉姆,米歇尔·加拉布吕,托马斯·儒阿特,玛丽·布奈尔,刘明珠,商虹"
23,9.1,"喜剧,爱情,西部,冒险",美国,淘金记,"查理·卓别林,马克·斯旺,Tom Murray,亨利·伯格曼,Malcolm Waite,乔治亚·黑尔,Jack Adams,Sam Allen,Harry Arras,艾伯特·奥斯汀,Marta Belfort,George Brock,海尼·康克林,Kay Deslys,James Dime,Leon Farey,Charles Force,J.C. Fowler,阿尔·欧内斯特·加西亚,Inez Gomez,希德·格鲁曼,丽泰·格雷,雷·格雷,F.F. Guenste,Jack Herrick,George Holt,Jean Huntley,Gladys Johnston,Fred Karno Jr.,Elias Lazaroff,Joan Lowell,Chris-Pin Martin,Clyde McAtee,John Millerta,贝蒂莫里西,Florence Murth,约翰兰德,Tiny Sandford,Frank Stockdale,Frank Rice,Lillian Rosine,C.F. Roark,Armand Triller,John Wallace,Tom Wood,Ed Wilson,Bess Wade"
24,9.1,"喜剧,爱情",美国,马戏团,"阿尔·欧内斯特·加西亚,梅尔纳·肯尼迪,Harry Crocker,George Davis,亨利·伯格曼,Tiny Sandford,约翰兰德,查理·卓别林,艾伯特·奥斯汀,Stanley Blystone,海尼·康克林,Toraichi Kono,贝蒂莫里西,L.J. O'Connor,杰克 P. 皮尔斯,Hugh Saxon,Armand Triller,吉恩·巴瑞,乔治·W·戴维斯"
25,9.1,"剧情,爱情,家庭",日本,情迷意乱,"高峰秀子,加山雄三,草笛光子,白川由美,三益爱子,滨美枝,藤木悠,北村和夫,十朱久雄,Yasuzô Ogawa,浦边粂子,中北千枝子,清水元,佐田丰"
